code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0940113M,Lycée polyvalent Langevin Wallon,lycée polyvalent,public,Créteil,94,Champigny-sur-Marne,94017,94507,126 avenue Roger Salengro,48.816826741365325,2.498317131240832
0932073Y,Lycée polyvalent Paul Robert,lycée polyvalent,public,Créteil,93,Les Lilas,93045,93260,2 rue du Château,48.883301628498906,2.4213428839711324
0940119U,Lycée Paul Doumer,lycée polyvalent,public,Créteil,94,Le Perreux-sur-Marne,94058,94170,2 rue PAUL DOUMER,48.833681465754296,2.508872238357299
0771658J,Lycée polyvalent du Gué à Tresmes,lycée polyvalent,public,Créteil,77,Congis-sur-Thérouanne,77126,77440,1 ROUTE DE CONGIS,49.02049045715237,2.9657519883324985
0772228D,Lycée polyvalent Charles de Gaulle,lycée polyvalent,public,Créteil,77,Longperrier,77259,77230,6 place JEAN MERMOZ,49.048625372566065,2.668843018556321
0771880A,Lycée professionnel Charles Baudelaire,lycée professionnel,public,Créteil,77,Meaux,77284,77333,Boulevard DU CHEVALIER BAYARD,48.95450640962863,2.914051656596103
0772120L,Lycée Jean Moulin,lycée d'enseignement général et technologique,public,Créteil,77,Torcy,77468,77200,6 AVENUE JEAN MOULIN - TORCY,48.83607944975962,2.6576433910619786
0930124E,Lycée Marcelin Berthelot,lycée d'enseignement général et technologique,public,Créteil,93,Pantin,93055,93500,110 avenue Jean Jaurès,48.90541136947215,2.394260520870352
0930118Y,Lycée Jean Renoir,lycée d'enseignement général et technologique,public,Créteil,93,Bondy,93010,93141,11 rue Fremin,48.90301247946519,2.47330599009689
0930127H,Lycée Clémenceau,lycée d'enseignement général et technologique,public,Créteil,93,Villemomble,93077,93250,130 rue DE NEUILLY,48.87693481107562,2.5245952712770765
0930123D,Lycée Olympe de Gouges,lycée d'enseignement général et technologique,public,Créteil,93,Noisy-le-Sec,93053,93130,RUE DE MONTREUIL A CLAYE,48.88927848551092,2.471321521299963
0771512A,Lycée Van Dongen,lycée d'enseignement général et technologique,public,Créteil,77,Lagny-sur-Marne,77243,77400,45 rue JEAN MERMOZ,48.86783583652336,2.719144935356008
0772685A,Lycée Samuel Beckett,lycée d'enseignement général et technologique,public,Créteil,77,La Ferté-sous-Jouarre,77183,77260,19 rue DU LION,48.94343942555177,3.1315196407779538
