code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon,velo_temps_s,transport_temps_s,velo_temps_min,transport_temps_min,temps_min_s,temps_min_min,zone
0932073Y,Lycée polyvalent Paul Robert,lycée polyvalent,public,Créteil,93,Les Lilas,93045,93260,2 rue du Château,48.883301628498906,2.4213428839711324,1969,1827.0,32.81666666666667,30.45,1827.0,30.45,Zone Bobigny
0940119U,Lycée Paul Doumer,lycée polyvalent,public,Créteil,94,Le Perreux-sur-Marne,94058,94170,2 rue PAUL DOUMER,48.833681465754296,2.508872238357299,3530,3097.0,58.833333333333336,51.61666666666667,3097.0,51.61666666666667,Zone Champigny sur Marne
0771658J,Lycée polyvalent du Gué à Tresmes,lycée polyvalent,public,Créteil,77,Congis-sur-Thérouanne,77126,77440,1 ROUTE DE CONGIS,49.02049045715237,2.9657519883324985,14941,,249.01666666666668,,14941.0,249.01666666666668,Zone Nord Seine et Marne
0772228D,Lycée polyvalent Charles de Gaulle,lycée polyvalent,public,Créteil,77,Longperrier,77259,77230,6 place JEAN MERMOZ,49.04862537256607,2.668843018556321,9948,5378.0,165.8,89.63333333333334,5378.0,89.63333333333334,Zone Nord Seine et Marne
0771880A,Lycée professionnel Charles Baudelaire,lycée professionnel,public,Créteil,77,Meaux,77284,77333,Boulevard DU CHEVALIER BAYARD,48.95450640962863,2.914051656596103,14004,4584.0,233.4,76.4,4584.0,76.4,Zone Nord Seine et Marne
0772120L,Lycée Jean Moulin,lycée d'enseignement général et technologique,public,Créteil,77,Torcy,77468,77200,6 AVENUE JEAN MOULIN - TORCY,48.83607944975962,2.6576433910619786,7454,3130.0,124.23333333333332,52.16666666666666,3130.0,52.16666666666666,Zone Nord Seine et Marne
0930124E,Lycée Marcelin Berthelot,lycée d'enseignement général et technologique,public,Créteil,93,Pantin,93055,93500,110 avenue Jean Jaurès,48.90541136947215,2.394260520870352,1498,1648.0,24.966666666666665,27.466666666666665,1498.0,24.966666666666665,Zone Bobigny
0930118Y,Lycée Jean Renoir,lycée d'enseignement général et technologique,public,Créteil,93,Bondy,93010,93141,11 rue Fremin,48.90301247946519,2.47330599009689,2895,2964.0,48.25,49.4,2895.0,48.25,Zone Bobigny
0930127H,Lycée Clémenceau,lycée d'enseignement général et technologique,public,Créteil,93,Villemomble,93077,93250,130 rue DE NEUILLY,48.87693481107562,2.5245952712770765,4201,2965.0,70.01666666666667,49.41666666666666,2965.0,49.41666666666666,Zone Noisy le Grand
0930123D,Lycée Olympe de Gouges,lycée d'enseignement général et technologique,public,Créteil,93,Noisy-le-Sec,93053,93130,RUE DE MONTREUIL A CLAYE,48.88927848551092,2.471321521299963,2851,2711.0,47.516666666666666,45.18333333333333,2711.0,45.18333333333333,Zone Bobigny
0771512A,Lycée Van Dongen,lycée d'enseignement général et technologique,public,Créteil,77,Lagny-sur-Marne,77243,77400,45 rue JEAN MERMOZ,48.86783583652336,2.719144935356008,8358,4054.0,139.3,67.56666666666666,4054.0,67.56666666666666,Zone Nord Seine et Marne
0772685A,Lycée Samuel Beckett,lycée d'enseignement général et technologique,public,Créteil,77,La Ferté-sous-Jouarre,77183,77260,19 rue DU LION,48.94343942555177,3.1315196407779538,19374,4851.0,322.9,80.85,4851.0,80.85,Zone Nord Seine et Marne
0931565W,Lycée Flora Tristan,lycée d'enseignement général et technologique,public,Créteil,93,Noisy-le-Grand,93051,93166,27 RUE DES HAUTS ROSEAUX,48.84372546299013,2.574112902703786,5224,2799.0,87.06666666666666,46.65,2799.0,46.65,Zone Noisy le Grand
